id,Color
1,2
2,2
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,2
13,3
14,3
15,2
16,1
17,2
18,1
19,2
20,1
21,2
22,1
23,2
24,1
25,2
26,1
27,1
28,2
29,3
30,4
31,1
32,3
33,1
34,3
35,2
36,4
37,3
38,3
39,2
40,1
41,3
42,2
43,3
44,2
45,2
46,1
47,4
48,3
49,2
50,2
51,2
52,3
53,3
54,3
55,2
56,2
57,1
58,3
59,3
60,2
61,2
62,3
63,2
64,3
65,3
66,2
67,3
68,4
69,1
70,1
71,3
72,1
73,1
74,1
75,1
76,3
77,2
78,2
79,3
80,2
81,3
82,1
83,2
84,1
85,1
86,1
87,2
88,2
89,1
90,3
91,3
92,2
93,2
94,2
95,2
96,1
97,1
98,1
99,1
100,1
