id,Color
1,2
2,2
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,2
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,1
21,2
22,3
23,2
24,1
25,3
26,1
27,1
28,2
29,3
30,4
31,4
32,4
33,2
34,2
35,2
36,1
37,3
38,1
39,4
40,2
41,4
42,2
43,3
44,2
45,4
46,3
47,4
48,3
49,2
50,2
51,2
52,3
53,3
54,4
55,1
56,2
57,3
58,3
59,3
60,2
61,3
62,3
63,2
64,1
65,3
66,2
67,3
68,4
69,1
70,4
71,1
72,3
73,1
74,2
75,1
76,3
77,2
78,2
79,3
80,2
81,1
82,1
83,2
84,1
85,2
86,1
87,1
88,2
89,3
90,3
91,3
92,2
93,2
94,2
95,2
96,1
97,1
98,1
99,1
100,1
