id,Color
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,2
40,2
41,1
42,1
43,1
44,2
45,1
46,2
47,1
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,3
58,1
59,2
60,3
61,2
62,3
63,2
64,2
65,2
66,3
67,1
68,1
69,3
70,3
71,2
72,3
73,3
74,3
75,4
76,2
77,1
78,2
79,2
80,3
81,3
82,4
83,1
84,3
85,4
86,4
87,4
88,4
89,3
90,3
91,3
92,2
93,3
94,5
95,4
96,4
97,2
98,6
99,5
100,4
